,Clue,Answer,Explanation
46,"Sick aunt to get better temporarily, of course",NATURALLY,"Definition: of course
anagram [sick] of AUNT + RALLY [get better]: I don’t think RALLY necessarily implies a temporary recovery but ‘temporarily’ does improve the surface, which I think is very good
"
47,Female with a female bundle,SHEAF,"Definition: bundle
SHE [female] + A F [a female]
"
48,Writer of music about sea foam is a browser,WEBSURFER,"Definition: browser
WEBER [writer of music]  round SURF [sea foam]
"
49,"Diligent, detaining one pair seen as suspicious?",ASSIDUOUS,"Definition: Diligent
AS SUS [as suspicious] round [detaining] I DUO [one pair]: the wordplay just about works, I think, if you shut one eye and squint at it!
"
50,Card games in Italian monastery,MONTE CASSINO,"Definition: Italian monastery
Two card games to give the name of the Italian monastery and site of a World War II battle
"
51,"With some canvas around, get shot of deterrent",TRIDENT,"Definition: deterrent
TENT [some canvas] round RID [get rid = get shot]
"
52,Leaven’s used to bind,ENSLAVE,"Definition: bind
anagram [used] of LEAVEN’S
"
53,Fortune held by left-winger as local funding,COMMUNITY CHEST,"Definition: local funding
TYCHE [Greek goddess of fortune] in [held by] COMMUNIST [left-winger]

**Down**
"
54,"Plebeian guy set off, aroused by love",SLEEPING BEAUTY,"Definition: aroused by love
anagram of PLEBEIAN GUY SET – a rather loose definition but an amiable surface, which raised a smile, since the arouser, being a prince, was by no means plebeian!
"
55,A tourist trophy race — nearly time to draw,ATTRACT,"Definition: draw
A TT [a tourist trophy] + RAC[e] [race nearly] + T [time]

3 What did you say is missing from Pandit Nehru’s new game?
"
56,Island area to shake the world?,ROCKALL,"Definition: Island area
ROCK [shake] ALL [the world]
"
57,Defeat easily with expense about a penny,OUTPLAY,"Definition: Defeat easily
OUTLAY [expense] round P [a penny]
"
58,First appearance of French qualification,DÉBUT,"Definition: First appearance
de [of French] BUT [qualification]
"
59,Peg follows artist to renegade’s home,RATHOLE,"Definition: renegade’s home
THOLE [peg] after RA [artist]
"
60,Police job going from Los Angeles to London for building material,LAW ENFORCEMENT,"Definition: Police job
LA [Los Angeles] + WEN [London – William Cobbett disparagingly called London ‘The Great Wen’] + FOR CEMENT [for building material]
"
61,"Black notes? Just so, circulating round tree",SOUL MUSIC,"Definition: Black notes
SIC [just so] round [circulating] O [round] ULMUS [elm tree]
"
62,"Now royal court on wagon, on spec, keeping donkey at junction",WOOTTON BASSETT,"Definition: Now royal
WOO court + TT [on wagon] + ON BET [on spec] round [keeping] ASS [donkey] + T [junction]
"
63,Flourish to celebrate supporter’s travel cost?,FANFARE,"Definition: Flourish to celebrate
FAN [supporter] FARE [travel cost]
"
64,Fancy being mother when entertaining sapper?,DREAM,"Definition: Fancy
DAM [mother] round [entertaining] RE [sapper] – an amusing reference to ‘Shall I be mother?’, meaning ‘Shall I pour the tea?’
"
67,ITALY,CHINA,"**ERITREA**
"
72,"Covering back, a politician given to stalling (8)",DILATORY,"Definition: given to stalling
reversal [back] of LID [covering] + A TORY [a politician]
"
73,"I am changing plan, spiel being incomprehensible, as people asking for its clarity? (5,7,8)",PLAIN ENGLISH CAMPAIGN,"Definition: people asking for its clarity? (
anagram [being incomprehensible] of I AM CHANGING PLAN SPIEL
"
74,Last of vile smell behind wind sensor disappearing (10),EVANESCENT,"Definition: disappearing
E [last letter of vilE] + VANE [wind sensor] + SCENT [smell]
"
75,"Party members needing permission to travel without limo, London’s conclusion: Olympic site not for backing (6,3,5)",VICARS AND TARTS,"Definition: Party members
VISA [permission to travel] round [without] CAR [limo] + N [last letter – conclusion – of londoN + reversal [backing] of STRAT[for]D [Olympic site not for]
"
76,"Put in meat processor, shame brought on old crone, as busybody (7-8)",CURTAIN-TWITCHER,"Definition: busybody
TAINT [shame] + WITCH [old crone] in CURER [meat processor]
"
77," Bishop, say, adding page to report (7)",PRELATE,"Definition:  Bishop, say
P [page] + RELATE [report]
"
78,"Old car drives, finding mystery man (6,6)",AUSTIN POWERS,"Definition: mystery man
AUSTIN [old car] + POWERS [drives]
"
79,"Film director provides the ultimate in comedy, then everyone’s lumbering about (5,5)",WOODY ALLEN,"Definition: Film director
WOODEN [lumbering] round Y [last letter of comedY] + ALL [everyone]
"
80,"Farmer’s assistant, filthy gossipmonger? (4,8)",MUCK SPREADER,"Definition: Farmer’s assistantfilthy gossipmonger
double / cryptic definition
"
81,"Step on people, passing first of stars — in this competitive exploration? (5,4)",SPACE RACE,"Definition: competitive exploration
S [first letter of Stars] + PACE [step] + RACE [people]
"
82,"Great Greek, Greek island recoiling at tax (8)",SOCRATES,"Definition: Great Greek
Reversal [recoiling] of COS [Greek island] + RATES [tax]

**Down**
"
83,"Sweet Irish author interrupting tour, regularly (8)",TIRAMISU,"Definition: Sweet
IR [Irish] + AMIS [as always, take your pick of Kingsley or Martin, author] in [interrupting] alternate letters [regularly] of ToUr
"
84,Casual habits causing leader in police force to break state up (7),PYJAMAS,"Definition: Casual habits
P [first letter – leader – of Police] + JAM [force] in reversal [up] of SAY [state]
"
85,"Cash rarely jazz y — his genre soul (3,7)",RAY CHARLES,"Definition: his genre soul
anagram [jazzy] of CASH RARELY
"
86,"Heading off to bed, never once being loose (6)",UNKNOT,"Definition: loose
[b]UNK [heading off {to} bed] + NOT [never once] – or it could be ‘once being loose’, UNKNOT being archaic?
"
87,"An oceanic movement to screen Teletubby before an Australian, say? (10)",ANTIPODEAN,"Definition: an Australian, say?
AN TIDE [an oceanic movement] round PO  [Teletubby] + AN
"
88,Topless operatic heroine said to have no top taken off (8),IMITATED,"Definition:  taken off
[m]IMI ‘topless’ operatic heroine of ‘La Bohème’ + [s]TATED [said to have no top]
"
89, Stimulate a ploy to ensnare love (6),AROUSE,"Definition:  Stimulate
A RUSE [a ploy] round [to ensnare] O [love]
"
90,"Plant no cost to country importing necklaces, primarily (6)",ARNICA,"Definition: Plant
costA RICA [no cost to country] round [importing] N [first letter – primarily] of Necklaces]
"
91,"Mum eats a feast, eating store of food (4,4)",MEAT SAFE,"Definition: store of food
well-hidden [well, it took me a few minutes to see it] in muM EATS A FEast
"
98,Environmentalists such as Ethel Merman and Thomas Hardy? (4-7),TREE-HUGGERS,"Definition: Environmentalists
What on earth could these two have in common, I wondered, and laughed out loud as the penny dropped that they both have a tree hidden [hugged] in their name [ethEL Merman / thomAS Hardy] What a lovely way to start a puzzle!
"
99,"Disconcert Arsenal without using wingers, gaining victory in Europe (7)",UNNERVE,"Definition: Disconcert
[g]UNNER[s] [nickname of Arsenal, minus first and last letters – without using wingers] + VE [victory in Europe] – great surface!
"
100,Return of ice in one point three times as slippery? (3-4),EEL-LIKE,"Definition: slippery
reversal [return] of KILL [ice] in EEE [point – three times]
"
101,Aid for tourists in Edinburgh’s good online reading material (9),GUIDEBOOK,"Definition: Aid for tourists
GUID [Scottish – Edinburgh’s – ‘good’] + E BOOK[online reading material]
"
102,"Spike Milligan, finally covered in for good (5)",PRONG,"Definition: Spike
N [last letter – finally – of Milligan] in PRO [for] G [good]
"
103, Weapon available from around threepence (4),EPÉE,"Definition:  Weapon
hidden reversal [around] in thrEEPEnce
"
104,One making declaration in a counter-revolutionary fashion (10),ENUNCIATOR,"Definition: One making declaration
anagram [revolutionary fashion] of IN A COUNTER
"
105,Strange I should tan poorly (10),OUTLANDISH,"Definition: Strange
anagram [poorly] of I SHOULD TAN
"
106," Body establishing English broadcasts, originally (4)",BEEB,"Definition:  Body establishing English broadcasts, originally
initial letters of Body Establishing English Broadcasts for a nice &lit
"
107," Desirable but unattainable ladies, mostly out to lunch (5)",IDEAL,"Definition:  Desirable but unattainable
anagram [out to lunch!] of LADIE[s] [mostly]
"
108,Before returning toilet roll to soft bit of furniture … (9),FOOTSTOOL,"Definition: bit of furniture
anagram [roll] of TO SOFT before reversal [returning] of LOO [toilet
"
109,heads for mugs of no-good drinks (7),NOGGINS,"Definition: headsmugs
there’s a lot going on here: a double definition and wordplay as well:  NO G [no good] GINS [drinks] – and, of course, a noggin is a drink, too
"
110,Fairy ring finally seen where moon is nearest to us (7),PERIGEE,"Definition: where moon is nearest to us
PERI [fairy] + GEE [last letter – finally – of rinG]
"
111,Spooner’s cursed pig will cheat (11),HORNSWOGGLE,"Definition: cheat
Spoonerism of Sworn hog’ll

**Down**
"
112," Measure of stress that can be absorbed by three nestlings about to take flight at last (7,8)",TENSILE STRENGTH,"Definition:  Measure of stress that can be absorbed
anagram of THREE NESTLINGS + [fligh]T
"
113,"Right one, hiding in central point in nest (5)",EYRIE,"Definition: nest
R I [right one] in EYE [central point – as of a storm]
"
114,Ring in when dancing includes party dance (7),HOEDOWN,"Definition: dance
O [ring] in anagram [dancing] of WHEN round [includes] DO [party]
"
115,One getting in a pickle from using her Kindle (7),GHERKIN,"Definition: One getting in a pickle
very nicely hidden in usinG HER KINdle – e-books again!
"
116,Golfer circling edge of hole is … (8),ELLIPSIS,"Definition: …
The ubiquitous crossword golfer [Ernie] ELS round [circling] LIP [edge of hole] + IS – a superb surface – and a genuine ellipsis!
"
117,"in soft enough ground, accepting initially even the error exiting the trap? (4,2,3,6)",SLIP OF THE TONGUE,"Definition: error exiting the trap
using the ellipsis, we have to take LIP from the previous clue [‘edge of hole is … in’ and put it in SOFT, then it’s an anagram [ground] of ENOUGH round [accepting] the initial letters of Even The, to give an amusing definition and a play on [sand] trap, which I believe is a golfing term: a really brilliant pair of clues, I think
"
118,Person who can’t spell anoints new members of old sect (13),MUGGLETONIANS,"Definition: members of old sect
MUGGLE [in the Harry Potter books, a  non-wizard – ‘person who can’t spell’!] + anagram [new] of ANOINTS for this unlikely-sounding old sect that I fortunately remembered from my A Level History
"
119,"Breakfast item in pub’s left one entering complaint: “Is hard to swallow” (7,6)",BEGGARS BELIEF,"Definition: “Is hard to swallow”
EGG [breakfast item] in BAR’S [pub’s] + L I [left one] in BEEF [complaint]
"
120,Liberal’s surprisingly more gutsy (8),BALLSIER,"Definition: more gutsy
anagram [surprisingly] of LIBERAL’S
"
121,"Removes tension from simmering feud, overseas area excepted (7)",DEFUSES,"Definition: Removes tension from
US [overseas area] in [accepted] anagram [simmering] of FEUDS
"
122,"Car horn very good in snow, oddly (7)",SCORPIO,"Definition: Car
COR [horn] + PI [very good: to forestall the frequent queries, ‘pi’ is a short form of ‘pious’, now a Chambers entry in its own right, meaning ‘obtrusively religious, sanctimonious’] in odd letters of S[n]O[w]: I confidently wrote ‘COR [horn]’, thinking of ‘cor anglais’, then was surprised to see that it wasn’t in either Chambers or Collins, except in that combination
"
123,"Childless male, shortly to produce child (5)",SPROG,"Definition: child
SP [sine prole – childless] + ROG[er] [male shortly] – an amusing clue to finish with
"
124,Some issue about judge and our temporary residences,SOJOURNS,"Definition:  temporary residences
SONS [some issue] around J [judge] + OUR
"
125,"Leaders coming from north, as usual, resting up in Pacific island",NAURU,"Definition: Pacific island
Initial letters [leaders] of North As Usual Resting Up
"
126,"Man is one that’s insulted, being oddly selective",ISLE,"Definition: Man is one
odd letters of InSuLtEd
"
127,"Hard demand about barbecue, so arranged in part of garden (such as you’ll find here)",HERBACEOUS BORDER,"Definition:  part of garden
H ORDER [hard demand] round an anagram of BARBECUE SO
"
128,Extended garden in new way,RANGED,"Definition: Extended
anagram [in new way] of GARDEN
"
129,Relatively slowly cut about half of bush that’s profuse,ABUNDANT,"Definition: profuse
ANDANT[e] [relatively slowly, cut] round BU [half of BUsh]
"
130,"Closely knit bunch batting, mature but losing wicket",IN-GROUP,"Definition: Closely knit bunch
IN [batting] + GRO[w] UP [mature] minus [losing] W [wicket]
"
131,"Fatty acid must be emptied out, I submit",ADIPOSE,"Definition: Fatty
A[ci]D [emptied out] + I POSE [I submit]
"
132,Climber found in only one part of garden,ASCENDER,"Definition: Climber
double / cryptic definition: an ascender is  ‘the part of some lower-case letters that ascends above the body of the letter’ , as does ‘d’ in ‘garden’: as in 12ac, another neat exploitation of the garden theme
"
133,"Is intrepid, wildly encouraged",INSPIRITED,"Definition: encouraged
anagram [wildly]of IS INTREPID
"
134,Game that gets exciting at match point,SNAP,"Definition: Game
cryptic definition of the game whose point is to spot matched cards
"
135," Where one’s led astray, not in bed",UP THE GARDEN PATH,"Definition:  Where one’s led astray
cryptic definition, with a play on [flower] bed
"
136,"Spirit, French counterpart of whisky",EAU DE VIE,"Definition: Spirit
literally ‘water of life’ – in French, a type of brandy, in Irish Gaelic ‘uisce beatha’ and Scottish Gaelic: ‘uisge beatha’, hence whiskey / whisky: [I really loved this clue – but I wonder why Brendan chose the Scottish spelling?]

**Down**
"
137,"Vote was rigged, splitting hard cash for director on board",COXSWAIN,"Definition: director on board
X [vote] + anagram [rigged] of WAS in [splitting] COIN [hard cash]
"
138,Flower got from bed,ROSE,"Definition: Flowergot from bed
double definition and another nice double use of ‘bed’
"
139,Ogre concealed in plant,ORCHID,"Definition:  plant
ORC [ogre] + HID [concealed]
"
140,Artists turned up in record in form of dance music,CSARDAS,"Definition: dance music
reversal [turned up] of RAS [artists] in CD [record] + AS [in form of] for a Hungarian folk dance: you may be familiar with this one
"
141,"Adventurously revised, eliminating parts of story considered worthless",UNVALUED,"Definition: considered worthless
anagram [revised] of ADVEN[t]U[ro]U[s]L[y] minus letters of story
"
142,"Wonderful son, unusually pure — daughter likewise",SUPER-DUPER,"Definition: Wonderfu
S [son] + anagram [unusually] of PURE + D [daughter] – likewise!
"
143,Part of subscription mut­ually set up for season,AUTUMN,"Definition:  season
hidden reversal [set up] in subscriptioN MUTUAlly
"
144,At sea endures a submarine,UNDERSEA,"Definition: submarine
anagram [at sea] of ENDURES A
"
145,"Envisaged sequence of events — oddly, no race is included",SCENARIO,"Definition: Envisaged sequence of events
anagram [oddly] of NO RACE IS
"
146,In legal document he had manifested embarrassment,WRITHED,"Definition: manifested embarrassment
WRIT {legal document] + HE’D [he had]
"
147,"All one can consume, no end of drink? That’s bad",SINFUL,"Definition: bad
S[k]INFUL [all one can consume] minus last letter [no end] of drink] – great surface!
"
148,Villain that might create problem in camp,BAD GUY,"Definition: Villain
double / cryptic definition, a guy being the rope that holds your tent up
"
149,Part of play got by audience and understood,SEEN,"Definition:  understood
sounds like [got by audience] of scene [part of play]
"
150,"Work of 15: among plays, others by him not entirely ambiguous (3,7,4)",THE HISTORY BOYS,"Definition: Work of 15
anagram [ambiguous] of OTHERS BY HI[m] in [among] TOYS [plays]
"
151,"Go by land, getting cold (6)",WINTRY,"Definition: cold
TRY [go] following [by] WIN [land]
"
152,Is the bottle so courageous? (8),SPIRITED,"Definition: courageous?
double / cryptic definition: if a bottle contains spirits, it could be said to be spirited – nice play on ‘bottle’, too
"
153,One climbed clear as English author (7),BENNETT,"Definition: English author
BEN [Scottish mountain – ‘one climbed’]  + NETT [clear]
"
154,Einstein‘s old oath about butter somewhat lost (7),EGGHEAD,"Definition: Einstein
EGAD [old oath] round GHE[e] [butter somewhat lost] – and, for once, butter means butter!
"
155,"a part rewritten with religious rite for 15’s work (1,7,8)",A PRIVATE FUNCTION,"Definition: 15’s work
anagram [rewritten] of FIVE A PART + UNCTION [religious rite]
"
156,Shine on beyond deadly sin (6),LUSTRE,"Definition: Shine
RE [on] after LUST [deadly sin]
"
157,"Copy returned shortly, thrill getting hold of terribly sad work of 15 (6,4)",KAFKA’S DICK,"Definition: work of 15
reversal [returned] of FAK[e] [copy shortly] + KICK [thrill] round [getting hold of] anagram of [terribly] SAD
"
158,"15’s work, if a mermaid breaks off to introduce yarn from Richmond? (2,2,6,2,8,5)","ME, I’M AFRAID OF VIRGINIA WOOLF","Definition: 15’s work
anagram [breaks] of IF A MERMAID + OFF round [to introduce] VIRGINIA WOOL [‘yarn from Richmond?’ – *capital of Virginia, as I should have noted earlier – thanks Fat Al @* comment 5] – a rather Araucarian construction!
"
159,"Guillotine out to slice through vessel, sliced into pieces (3,2)",CUT UP,"Definition: sliced into pieces
[o]UT minus its first letter [guillotined] in [to slice through] CUP [vessel]

**Down**
"
160,Drug — figure drawing it in inhaling poisonous gas? (8),NICOTINE,"Definition: Drug
NINE [figure] round [drawing in] IT, which is itself round [inhaling] CO [carbon monoxide – poisonous gas] – great surface!
"
161,A pleasing thing for Turkish generals (4),AGAS,"Definition: Turkish generals
A GAS [pleasing thing]
"
162,Difficult as a hitch? (6),KNOTTY,"Definition: Difficult
cryptic definition
"
163,"Where China Sea becomes choppy in the wind (3,4)",FAR EAST,"Definition: Where China
anagram [becomes choppy] of SEA in FART [wind] – another great surface
"
164,"Anticipating a comic, it having popular features inside (8)",AWAITING,"Definition: Anticipating
IT + IN [having popular features] inside A WAG [a comic] [I was taught that this was not the definition of ‘anticipating’!]
"
165,Settle on leading celebrities for theatre (10,FOOTLIGHTS,"Definition:  theatre
FOOT [settle – as in foot the bill] + LIGHTS [leading celebrities]  – I’m not sure ‘leading’ is necessary here, since it usually precedes ‘lights’ in this sense
"
166,"Power of pulling, for certain? (1,5)",G FORCE,"Definition: Power
hidden in pullinG FOR CErtain
"
167,"Bowler’s dream, new balls caught in the slips (3,7)",TEN WICKETS,"Definition: Bowler’s dream
anagram [balls!] of NEW in TICKETS [slips] – an excellent cricketing surface.
"
168,"Month after one thrown from vehicle, find wing in church (8)",TRANSEPT,"Definition: wing in church
SEPT[ember] [month] after TRA[i]N [one thrown from vehicle]
"
169,"Number of convictions proves contradictory, thief ultimately claimed (7)",BELIEFS,"Definition: Number of convictions
F [thieF ultimately] in [claimed] BELIES [proves contradictory] – ‘number of’ is necessary for the fine surface
"
170,Fish put in one’s ear (6),PLAICE,"Definition: Fish
sounds like [in one’s ear] ‘place’ [put]
"
171,Juliet’s heart and Lear’s desire (6),LIKING,"Definition: desire
LI [juLIet’s heart] + KING [Lear]
"
172,"Story taking month, not a month less a day (4)",MYTH,"Definition: Story
M[a]Y [month not a] + [mon]TH [month minus mon{day}]
"
173,Extremely uncongenial bird’s embraced at last (8),ULTIMATE,"Definition:  last
U[ncongenia]L + TIME [bird – prison sentence] round [‘s embraced] AT
"
174,Actor’s denied leading part in films (6),LAYERS,"Definition: films
[p]LAYERS: player [actor] minus first letter [leading] of Part
"
175,"Old swinger who scored with temptress — it ends in remorse (4,4)",BABE RUTH,"Definition: Old swinger who scored
BABE [temptress] + RUTH [remorse]
"
176," Swinger professionally and privately has row about German swingers’ clubs (5,5)",TIGER WOODS,"Definition:  Swinger professionally and privately
TIER [row] round G [German] + WOODS [golf [swingers’] clubs]
"
177,Swinger going on record shows what’s grand in French Resistance (6),MILLER,"Definition: Swinger going on record
MILLE  thousand [grand] in French + R [resistance]
"
178,Gin reportedly reduces discomfort in swingers’ bars (8),TRAPEZES,"Definition: swingers’ bars
TRAP [gin] + EZES : sounds like [reportedly] eases – reduces discomfort]
"
179,"The Ottoman commander most admired by his peers produces middlebrow novel (3,4)",AGA SAGA,"Definition: middlebrow novel 
AGAS’ AGA
"
180,Swinger’s flat out here having food to scoff (7),HAMMOCK,"Definition: Swinger’s flat out here
HAM [food] + MOCK [scoff]
"
181,Worker taken in by PM has silly illusion (8),PHANTASM,"Definition:  illusion
ANT [worker] in anagram [silly] of PM HAS
"
182,Trojan horse’s outside Caribbean country (6),HECUBA,"Definition: Trojan
H[ors]E [horse’s outside] + CUBA [Caribbean country] for the wife of Priam, king of Troy
"
183,"Actress admits whisky’s knocked back for illumination (6,4)",STREET LAMP,"Definition: illumination
STREEP [Meryl, actress] round [admits] reversal [knocked back] of MALT [whisky]

 
"
184,"Swingers seduced by parties love gin — start of frolics! (8,6)",FLOATING VOTERS,"Definition: Swingers seduced by parties
anagram [frolics] of LOVE GIN START OF
"
185," Swinger’s activity with one fellow, say, accepting hands going up leg (4,8)",WIFE SWAPPING,"Definition:  Swinger’s activity
W [with] I F [one fellow] + EG [say] round [accepting] reversal [going up] of PAWS [hands] + PIN [leg]
"
186, Swinger like 10 24 across’s beat (6),BATTER,"Definition:  Swinger like 10 24 across’sbeat
double definition
"
187,Top for woman with figure of a voluminous nature (7),WEIGHTY,"Definition: of a voluminous nature
W [top {first letter} for woman] + EIGHTY [figure]
"
188,Long aria composed for this? (8),GLORIANA,"Definition: Long aria composed for this?
anagram [composed] of LONG ARIA – &lit – opera by Benjamin Britten
"
189,"Addict needs this endless buzz: too many drugs leading to crime, unfortunately (10)",HYPODERMIC,"Definition: Addict needs this
HYP[e] [endless buzz] +OD [overdose – too many drugs] + anagram [unfortunately] of CRIME
"
190,Cross Irish girl wasting time (6),BRIDGE,"Definition: Cross
BRIDGE[t] [Irish girl] minus [wasting] T [time]
"
191,"Cinematic location fails to entertain patron of the theatre (3,7)",LOS ANGELES,"Definition: Cinematic location
LOSES [fails] round [to entertain] ANGEL [patron of the theatre]
"
192,Large woman‘s uncontrolled eating leads to swollen stomach (8),GIANTESS,"Definition: Large woman
anagram [uncontrolled] of EATING + first letters [leads] of Swollen Stomach
"
193,"Bishop caught in fling with joiner in pick-up location (3,5)",CAB STAND,"Definition: pick-up location
B [bishop] in CAST [fling] + AND [joiner]
"
194,Singer plugs TV award half-heartedly — it’s an important mission (7),EMBASSY,"Definition: an important mission
BASS [singer] in [plugs] EM[m]Y [TV award] minus one of its middle letters – half-heartedly
"
195, Legendary 3 building century (6),HUTTON,"Definition:  Legendary 3
HUT [building] + TON [century] – easy charade for the legendary England batsman Len Hutton
"
196, Swinger exercising no discrimination during arousal (6),HEPCAT,"Definition:  Swinger
PC [politically correct – exercising no discrimination] in [during] HEAT [arousal]
"
197,"After starter’s put away, beef’s ready (4)",RIPE,"Definition: ready
[g]RIPE: complaint minus [put away] its first letter [starter]
"
198,"England’s captain, once  one of several scorers ",STRAUSS,"Definition: England’s captainonceone of several scorers
multiple / cryptic definition: Andrew Strauss, former England cricket captain, and several composers [scorers] – Johann and his family or Richard: ‘once’ could be read with either half
"
199,Leave his prey to perish in 25 ,EYELASH VIPER,"Definition: 25
anagram [to perish] of LEAVE HIS PREY
"
200,Former president getting head from Monica — a second short spell in White House 25,BUSHMASTER,"Definition: 25
BUSH [former president – probably not the one you immediately thought of 😉 ] + M [first letter – head – of Monica] + A S [a second] + TER[m] shortened spell in White House
"
